Date,Team,Opponent,Team Score,Opponent Score
11/2/2016,N Colorado,J&W CO,91,67
11/11/2016,Alabama,Coastal Car,70,53
11/11/2016,Arkansas,IPFW,92,83
11/11/2016,Florida,FL Gulf Coast,80,59
11/11/2016,Mississippi,TN Martin,86,83
11/11/2016,South Carolina,Louisiana Tech,85,76
11/11/2016,Chattanooga,Tennessee,82,69
11/11/2016,Clemson,Georgia,74,64
11/11/2016,Georgia Tech,Tennessee Tech,70,55
11/11/2016,Miami FL,W Carolina,92,43
11/11/2016,NC State,Ga Southern,81,79
11/11/2016,Syracuse,Colgate,83,55
11/11/2016,Pittsburgh,E Michigan,93,90
11/11/2016,St Mary's CA,Nevada,81,63
11/11/2016,Gonzaga,Utah Valley,92,69
11/11/2016,South Alabama,UNLV,76,68
11/11/2016,Texas St,FL Atlantic,61,57
11/11/2016,West Virginia,Mt St Mary's,87,59
11/11/2016,Houston,Morgan St,93,52
11/11/2016,Cincinnati,Brown,84,55
11/11/2016,Presbyterian,Furman,73,71
11/11/2016,VA Commonwealth,UNC Asheville,80,65
11/11/2016,Richmond,VMI,72,69
11/11/2016,Mercer,Brewton-Parker,87,53
11/11/2016,Ball St,St Louis,85,64
11/11/2016,Oakland,Bowling Green,78,70
11/11/2016,C Michigan,IU Kokomo,117,53
11/11/2016,Fairfield,Sacred Heart,85,63
11/11/2016,Bucknell,Manhattan,76,64
11/11/2016,Rider,Hampton,67,56
11/11/2016,Monmouth NJ,Drexel,78,65
11/11/2016,Dayton,Austin Peay,96,68
11/11/2016,E Kentucky,IUPUI,97,87
11/11/2016,Morehead St,Kentucky Chr,106,41
11/11/2016,Murray St,Illinois St,73,70
11/11/2016,Illinois,SE Missouri St,81,62
11/11/2016,Edwardsville,Hawaii,69,68
11/11/2016,South Dakota,Drake,79,74
11/11/2016,Wright St,S Illinois,85,81
11/11/2016,Missouri St,Alabama A&M,96,62
11/11/2016,Loyola-Chicago,Alcorn St,69,44
11/11/2016,Duquesne,Loyola MD,65,60
11/11/2016,G Washington,MD E Shore,75,71
11/11/2016,Massachusetts,MA Lowell,90,76
11/11/2016,New Hampshire,Lesley,85,60
11/11/2016,CS Northridge,Pomona Pitzer,96,72
11/11/2016,Seton Hall,F Dickinson,91,70
11/11/2016,Charlotte,Newberry,101,88
11/11/2016,Florida Intl,FL Memorial,76,57
11/11/2016,MTSU,Milligan,102,64
11/11/2016,Old Dominion,James Madison,62,55
11/11/2016,Elon,Peace,101,68
11/11/2016,Hofstra,Coppin St,74,72
11/11/2016,UNC Wilmington,Claflin,110,64
11/11/2016,ULM,Centenary,96,63
11/11/2016,E Washington,Linfield,70,47
11/11/2016,Marquette,Vanderbilt,95,71
11/11/2016,Kentucky,SF Austin,87,64
11/11/2016,Maryland,American Univ,62,56
11/11/2016,Arizona,Michigan St,65,63
11/11/2016,Albany NY,Penn St,87,81
11/11/2016,Purdue,McNeese St,109,65
11/11/2016,Rutgers,Molloy,86,57
11/11/2016,Duke,Marist,94,49
11/11/2016,Louisville,Evansville,78,47
11/11/2016,Nicholls St,Boston College,79,73
11/11/2016,Virginia,UNC Greensboro,76,51
11/11/2016,Washington St,Montana St,69,65
11/11/2016,Georgia St,Thomas GA,111,69
11/11/2016,TCU,St Thomas TX,82,64
11/11/2016,Baylor,Oral Roberts,76,61
11/11/2016,Wagner,Connecticut,67,58
11/11/2016,South Florida,Florida A&M,84,73
11/11/2016,Temple,La Salle,97,92
11/11/2016,Jacksonville St,Tulsa,84,73
11/11/2016,ETSU,Fordham,96,59
11/11/2016,N Illinois,Indiana St,80,78
11/11/2016,W Michigan,Marygrove,90,74
11/11/2016,Northeastern,Boston Univ,87,77
11/11/2016,Villanova,Lafayette,88,48
11/11/2016,Xavier,Lehigh,84,81
11/11/2016,Rhode Island,Dartmouth,84,61
11/11/2016,Detroit,Adrian,99,69
11/11/2016,Central Conn,Hartford,75,60
11/11/2016,Columbia,Stony Brook,73,66
11/11/2016,Penn,Robert Morris,67,50
11/11/2016,Long Island,John Jay,78,40
11/11/2016,Delaware,Goldey Beacom,64,56
11/11/2016,St John's,Bethune-Cookman,100,53
11/11/2016,Air Force,McPherson,88,71
11/11/2016,Wake Forest,Radford,80,59
11/11/2016,Texas Tech,Houston Bap,93,67
11/11/2016,Col Charleston,Citadel,81,68
11/11/2016,Tennessee St,UC Davis,78,64
11/11/2016,Binghamton,Cornell,68,62
11/11/2016,NJIT,Sarah Lawrence,100,38
11/11/2016,Mississippi St,Norfolk St,78,74
11/11/2016,Texas,Incarnate Word,78,73
11/11/2016,Wisconsin,Cent Arkansas,79,47
11/11/2016,Minnesota,ULL,86,74
11/11/2016,Northwestern,MS Valley St,94,63
11/11/2016,N Dakota St,Arkansas St,76,66
11/11/2016,Troy,Toccoa Falls,135,76
11/11/2016,Oklahoma St,Campbell,102,65
11/11/2016,Iowa St,Savannah St,113,71
11/11/2016,Valparaiso,Southern Utah,79,65
11/11/2016,East Carolina,Grambling,72,57
11/11/2016,SMU,Gardner Webb,72,44
11/11/2016,Buffalo,Niagara,76,66
11/11/2016,Bradley,IL Springfield,70,55
11/11/2016,Stetson,Webber,78,62
11/11/2016,North Texas,Sul Ross,85,77
11/11/2016,Southern Miss,Tougaloo,101,96
11/11/2016,UAB,Ark Pine Bluff,86,66
11/11/2016,Liberty,Cairn,81,53
11/11/2016,E Illinois,St Francis IL,83,41
11/11/2016,Texas A&M,Northwestern LA,72,44
11/11/2016,Michigan,Howard,76,58
11/11/2016,Indiana,Kansas,103,99
11/11/2016,Ohio St,Navy,78,68
11/11/2016,North Carolina,Tulane,95,75
11/11/2016,Virginia Tech,Maine,80,67
11/11/2016,Colorado,CS Sacramento,90,53
11/11/2016,Oregon St,Prairie View,78,58
11/11/2016,Arizona St,Portland St,88,70
11/11/2016,UCLA,Pacific,119,80
11/11/2016,Kansas St,W Illinois,82,55
