Date,Team,Opponent,Team Score,Opponent Score
11/13/2015,Oregon,Jackson State,80,52
11/13/2015,Oral Roberts,Missouri State,80,65
11/13/2015,Pennsylvania,Robert Morris,76,75
11/13/2015,Portland,Oregon Tech,98,81
11/13/2015,Old Dominion,Niagara,67,50
11/13/2015,Northwestern,Massachusetts-Lowell,79,57
11/13/2015,Northern Illinois,Cal State Northridge,83,71
11/13/2015,Notre Dame,Saint Francis (PA),87,56
11/13/2015,Oklahoma State,Tennessee-Martin,91,57
11/13/2015,Saint Joseph's,Drexel,82,81
11/13/2015,Saint Mary's (CA),San Francisco State,80,56
11/13/2015,Sacred Heart,Quinnipiac,76,64
11/13/2015,San Diego State,Illinois State,71,60
11/13/2015,Saint Peter's,Brown,77,65
11/13/2015,Rhode Island,American,65,42
11/13/2015,James Madison,Richmond,87,75
11/13/2015,Purdue,North Carolina A&T,81,40
11/13/2015,Rutgers,Rutgers-Newark,72,59
11/13/2015,Princeton,Rider,64,56
11/13/2015,North Texas,Jarvis Christian,112,82
11/13/2015,Mississippi State,Eastern Washington,106,88
11/13/2015,Missouri,Wofford,83,74
11/13/2015,Montana,Boise State,74,72
11/13/2015,Murray State,Harris-Stowe,105,55
11/13/2015,Morehead State,Cincinnati Christian,87,51
11/13/2015,Michigan,Northern Michigan,70,44
11/13/2015,Michigan State,Florida Atlantic,82,55
11/13/2015,Mississippi,Northwestern State,90,76
11/13/2015,Minnesota,Missouri-Kansas City,76,58
11/13/2015,William & Mary,North Carolina State,85,68
11/13/2015,New Mexico State,Houston Baptist,91,69
11/13/2015,North Dakota,Minnesota-Morris,99,69
11/13/2015,North Carolina-Wilmington,Milligan,100,62
11/13/2015,UC-Santa Barbara,Nebraska-Omaha,60,59
11/13/2015,Florida,Navy,59,41
11/13/2015,New Hampshire,Lyndon State,82,45
11/13/2015,New Mexico,Texas Southern,86,57
11/13/2015,Nevada-Las Vegas,Cal Poly,74,72
11/13/2015,Lipscomb,Santa Clara,65,63
11/13/2015,Virginia,Morgan State,86,48
11/13/2015,Villanova,Fairleigh Dickinson,91,54
11/13/2015,Wake Forest,Maryland-Baltimore County,78,73
11/13/2015,Virginia Commonwealth,Prairie View,75,50
11/13/2015,Vanderbilt,Austin Peay,80,41
11/13/2015,Monmouth,UCLA,84,81
11/13/2015,Alabama A&M,Tulane,68,67
11/13/2015,Valparaiso,IPFW,78,64
11/13/2015,Utah,Southern Utah,82,71
11/13/2015,Wright State,South Dakota,77,69
11/13/2015,Wyoming,Bristol University,101,62
11/13/2015,Yale,Fairfield,70,57
11/13/2015,Xavier,Miami (OH),81,72
