Date,Team,Opponent,Team Score,Opponent Score
11/18/2012,UCF,Savannah St,53,50
11/18/2012,Niagara,New Mexico St,86,83
11/18/2012,Northern Arizona,UC Davis,85,82
11/18/2012,S Carolina St,NJIT,77,74
11/18/2012,Loyola MD,Albany NY,67,64
11/18/2012,Elon,FL Atlantic,62,59
11/18/2012,Sacred Heart,Stony Brook,64,62
11/18/2012,E Illinois,IPFW,68,67
11/18/2012,New Mexico,George Mason,70,69
11/19/2012,North Carolina,Mississippi St,95,49
11/19/2012,Kansas,Washington St,78,41
11/19/2012,Illinois,USC,94,64
11/19/2012,Arizona,Long Beach St,94,72
11/19/2012,Oregon,Jacksonville St,67,45
11/19/2012,St Louis,Texas A&M,70,49
11/19/2012,Virginia,Lamar,63,44
11/19/2012,UC Irvine,Liberty,64,46
11/19/2012,Ark Little Rock,WI Milwaukee,59,43
11/19/2012,George Mason,Quinnipiac,74,58
11/19/2012,Lehigh,Fairfield,82,67
11/19/2012,San Francisco,American Univ,67,53
11/19/2012,North Texas,IUPUI,80,66
11/19/2012,Indiana,Georgia,66,53
11/19/2012,Georgia St,Monmouth NJ,62,49
11/19/2012,South Carolina,Rider,88,76
11/19/2012,Southern Miss,Sam Houston St,61,49
11/19/2012,Tennessee St,South Alabama,68,57
11/19/2012,Robert Morris,Bowling Green,71,60
11/19/2012,Virginia Tech,UNC Greensboro,96,87
11/19/2012,Fresno St,Cal Poly SLO,76,67
11/19/2012,Georgetown,UCLA,78,70
11/19/2012,Troy,Chattanooga,68,61
11/19/2012,Jacksonville,Missouri St,64,58
11/19/2012,New Mexico,Connecticut,66,60
11/19/2012,IL Chicago,Iona,86,81
11/19/2012,Louisiana Tech,SE Missouri St,67,63
11/19/2012,N Dakota St,Youngstown St,83,80
11/19/2012,Wake Forest,Mercer,74,71
11/19/2012,Duquesne,James Madison,90,88
11/19/2012,Oral Roberts,Pacific,69,67
11/19/2012,Fordham,Penn,70,68
11/19/2012,Butler,Marquette,72,71
11/20/2012,Creighton,Longwood,105,57
11/20/2012,Wisconsin,Presbyterian,88,43
11/20/2012,Texas Tech,Grambling,91,56
11/20/2012,Illinois St,F Dickinson,91,58
11/20/2012,Iowa St,NC A&T,86,57
11/20/2012,Arkansas,Florida A&M,89,60
11/20/2012,Albany NY,S Carolina St,83,55
11/20/2012,Marquette,Mississippi St,89,62
11/20/2012,Mississippi,McNeese St,76,50
11/20/2012,Indiana St,Ball St,68,48
11/20/2012,Santa Clara,SC Upstate,85,65
11/20/2012,South Florida,Bradley,82,63
11/20/2012,Northwestern,Delaware St,69,50
11/20/2012,Cincinnati,Campbell,91,72
11/20/2012,St Joseph's PA,Harvard,75,56
11/20/2012,Columbia,Villanova,75,57
11/20/2012,Florida,Savannah St,58,40
11/20/2012,S Illinois,Edwardsville,71,55
11/20/2012,Virginia,North Texas,80,64
11/20/2012,Middle Tenn St,UCF,75,61
11/20/2012,N Dakota St,Duquesne,57,43
11/20/2012,Sam Houston St,Liberty,64,50
11/20/2012,Kansas,St Louis,73,59
11/20/2012,La Salle,Hartford,64,51
11/20/2012,Wichita St,DePaul,75,62
11/20/2012,Evansville,Tennessee Tech,62,50
11/20/2012,Gardner Webb,Howard,55,43
11/20/2012,Arizona St,Cornell,64,53
11/20/2012,UC Davis,CS Sacramento,87,76
11/20/2012,Butler,North Carolina,82,71
11/20/2012,East Carolina,Appalachian St,82,72
11/20/2012,Idaho,WI Green Bay,72,62
11/20/2012,Indiana,Georgetown,82,72
11/20/2012,Maryland,Lafayette,83,74
11/20/2012,Robert Morris,Cleveland St,71,62
11/20/2012,Iowa,W Kentucky,63,55
11/20/2012,Louisiana Tech,Chattanooga,71,63
11/20/2012,Ohio,Hampton,75,67
11/20/2012,Army,St Francis NY,67,59
11/20/2012,LSU,Northwestern LA,102,95
11/20/2012,Canisius,Buffalo,71,64
11/20/2012,Lehigh,Penn,73,66
11/20/2012,UAB,Prairie View,76,70
11/20/2012,Richmond,Wofford,64,58
11/20/2012,USC,Texas,59,53
11/20/2012,Hawaii,North Dakota,71,66
11/20/2012,Michigan St,Boise St,74,70
11/20/2012,Southern Miss,UC Irvine,69,65
11/20/2012,Pepperdine,Houston Bap,57,53
11/20/2012,Lamar,IUPUI,86,82
11/20/2012,UCLA,Georgia,60,56
11/20/2012,Troy,SE Missouri St,59,56
11/20/2012,Utah Valley,E Washington,86,83
11/20/2012,Fairfield,Fordham,74,71
11/20/2012,TCU,Navy,47,45
11/20/2012,Monmouth NJ,South Alabama,73,71
11/20/2012,Georgia St,Tennessee St,59,57
11/20/2012,ETSU,Charleston So,59,57
11/20/2012,Rutgers,Boston Univ,81,79
11/20/2012,Oakland,TX Southern,71,69
11/20/2012,Austin Peay,W Carolina,72,71
11/20/2012,James Madison,Youngstown St,69,68
11/20/2012,Kent,Bethune-Cookman,69,68
11/20/2012,Central Conn,MD Baltimore Co,83,82
11/20/2012,Texas A&M,Washington St,55,54
11/21/2012,San Diego St,Ark Pine Bluff,79,43
11/21/2012,Seton Hall,Maine,76,49
