Date,Team,Opponent,Team Score,Opponent Score
11/9/2012,Middle Tenn St,Alabama St,97,53
11/9/2012,Cleveland St,Grambling,92,49
11/9/2012,Indiana,Bryant,97,54
11/9/2012,Xavier,F Dickinson,117,75
11/9/2012,Richmond,Liberty,84,42
11/9/2012,Seton Hall,Missouri KC,75,36
11/9/2012,NC State,Miami OH,97,59
11/9/2012,Gonzaga,Southern Utah,103,65
11/9/2012,Minnesota,American Univ,72,36
11/9/2012,Mississippi,MS Valley St,93,57
11/9/2012,Marshall,Longwood,81,47
11/9/2012,Kansas St,North Dakota,85,52
11/9/2012,Pittsburgh,Mt St Mary's,80,48
11/9/2012,DePaul,UC Riverside,91,59
11/9/2012,Valparaiso,Ga Southern,85,54
11/9/2012,Iowa,TX Pan American,86,55
11/9/2012,Belmont,Lipscomb,89,60
11/9/2012,Monmouth NJ,Hofstra,91,62
11/9/2012,UCLA,Indiana St,86,59
11/9/2012,Loyola MD,Binghamton,71,45
11/9/2012,Rider,Robert Morris,79,54
11/9/2012,Iowa St,Southern Univ,82,59
11/9/2012,VA Commonwealth,FL Gulf Coast,80,57
11/9/2012,Bradley,E Illinois,76,53
11/9/2012,Baylor,Lehigh,99,77
11/9/2012,UTEP,Oral Roberts,69,49
11/9/2012,Illinois,Colgate,75,55
11/9/2012,Creighton,North Texas,71,51
11/9/2012,Duke,Georgia St,74,55
11/9/2012,Kansas,SE Missouri St,74,55
11/9/2012,Oregon St,Niagara,102,83
11/9/2012,Georgia Tech,Tulane,79,61
11/9/2012,William & Mary,Hampton,69,51
11/9/2012,North Carolina,Gardner Webb,76,59
11/9/2012,Col Charleston,Towson,75,58
11/9/2012,St Louis,SC Upstate,76,59
11/9/2012,Ark Little Rock,TN Martin,84,68
11/9/2012,Colorado,Wofford,74,59
11/9/2012,BYU,Tennessee St,81,66
11/9/2012,LSU,Santa Barbara,77,63
11/9/2012,USC,Coppin St,87,73
11/9/2012,IUPUI,Utah Valley,67,54
11/9/2012,NE Omaha,N Illinois,77,64
11/9/2012,Morgan St,UT San Antonio,71,59
11/9/2012,Wake Forest,Radford,79,67
11/9/2012,Norfolk St,Rhode Island,67,55
11/9/2012,Texas A&M,Louisiana Tech,71,59
11/9/2012,Loyola-Chicago,Toledo,62,50
11/9/2012,Stanford,San Francisco,74,62
11/9/2012,Hawaii,MD E Shore,76,64
11/9/2012,Austin Peay,Samford,75,64
11/9/2012,Auburn,IPFW,61,50
11/9/2012,St Francis NY,Lafayette,76,65
11/9/2012,Charlotte,Charleston So,68,58
11/9/2012,UNC Asheville,W Carolina,71,61
11/9/2012,St Bonaventure,Bethune-Cookman,65,55
11/9/2012,Texas St,Fordham,86,76
11/9/2012,Texas Tech,Prairie View,89,79
11/9/2012,Wright St,Idaho,80,70
11/9/2012,Tennessee,Kennesaw,76,67
11/9/2012,Miami FL,Stetson,87,79
11/9/2012,High Point,UNC Greensboro,81,73
11/9/2012,Oklahoma St,UC Davis,73,65
11/9/2012,Penn St,St Francis PA,65,58
11/9/2012,TCU,Cal Poly SLO,53,46
11/9/2012,Iona,Denver,65,58
11/9/2012,Colorado St,Montana,72,65
11/9/2012,Georgia,Jacksonville,68,62
11/9/2012,CS Northridge,Pepperdine,81,75
11/9/2012,Houston,Florida A&M,81,76
11/9/2012,South Alabama,Florida St,76,71
11/9/2012,Bucknell,Purdue,70,65
11/9/2012,Penn,MD Baltimore Co,80,75
11/9/2012,Arkansas,Sam Houston St,73,68
11/9/2012,George Mason,Virginia,63,59
11/9/2012,Connecticut,Michigan St,66,62
11/9/2012,Kent,Drexel,66,62
11/9/2012,Coastal Car,Akron,74,70
11/9/2012,St Peter's,Rutgers,56,52
11/9/2012,New Orleans,San Jose St,72,68
11/9/2012,Houston Bap,Ark Pine Bluff,72,68
11/9/2012,Morehead St,Long Island,77,74
11/9/2012,Albany NY,Duquesne,69,66
11/9/2012,Troy,Mississippi St,56,53
11/9/2012,Kentucky,Maryland,72,69
11/9/2012,Alabama,S Dakota St,70,67
11/9/2012,Stony Brook,Marist,60,57
11/9/2012,Texas,Fresno St,55,53
11/9/2012,UT Arlington,CS Bakersfield,62,60
11/9/2012,Northeastern,Boston Univ,65,64
11/9/2012,Vermont,Siena,54,53
11/9/2012,Holy Cross,Old Dominion,46,45
11/10/2012,Ohio,Portland,81,52
11/10/2012,Columbia,Furman,68,47
11/10/2012,Washington St,E Washington,88,69
11/10/2012,UCF,South Florida,74,56
11/10/2012,Virginia Tech,ETSU,80,62
11/10/2012,Vanderbilt,Nicholls St,80,65
11/10/2012,Butler,Elon,74,59
11/10/2012,Arizona St,Cent Arkansas,79,64
11/10/2012,Missouri,Edwardsville,83,69
11/10/2012,Wichita St,NC Central,71,57
11/10/2012,UC Irvine,Nevada,78,64
11/10/2012,Dayton,Arkansas St,74,61
11/10/2012,Dartmouth,Maine,67,54
11/10/2012,Air Force,Army,76,65
11/10/2012,Old Dominion,Morgan St,72,61
11/10/2012,Oregon,Northern Arizona,83,73
11/10/2012,Notre Dame,Evansville,58,49
11/10/2012,Cornell,W Michigan,63,55
11/10/2012,Citadel,VMI,84,76
11/10/2012,Utah St,Idaho St,56,48
11/10/2012,La Salle,Delaware,73,66
11/10/2012,Youngstown St,G Washington,80,73
11/10/2012,WI Green Bay,Chicago St,72,67
11/10/2012,Princeton,Buffalo,57,53
11/10/2012,UT San Antonio,Holy Cross,60,56
11/10/2012,Quinnipiac,Hartford,65,61
11/10/2012,Southern Miss,W Kentucky,67,64
11/10/2012,Sacred Heart,Yale,85,82
11/10/2012,Providence,NJIT,64,63
11/10/2012,Fairfield,Central Conn,64,63
11/11/2012,Florida,Alabama St,84,35
11/11/2012,Wisconsin,SE Louisiana,87,47
11/11/2012,Oklahoma,ULM,85,51
11/11/2012,Baylor,Jackson St,78,47
11/11/2012,Purdue,Hofstra,83,54
11/11/2012,Louisville,Manhattan,79,51
11/11/2012,Ball St,Grambling,78,51
11/11/2012,Hawaii,Ark Pine Bluff,81,54
11/11/2012,North Carolina,FL Atlantic,80,56
11/11/2012,Cincinnati,TN Martin,80,57
11/11/2012,Ohio St,Albany NY,82,60
11/11/2012,Washington,Loyola MD,85,63
11/11/2012,Marquette,Colgate,84,63
11/11/2012,Boise St,TX Southern,81,63
11/11/2012,SMU,Loy Marymount,73,58
11/11/2012,Houston Bap,MD E Shore,70,55
11/11/2012,Seattle,Montana St,87,72
11/11/2012,Boston College,Florida Intl,84,70
11/11/2012,California,CS Bakersfield,78,65
11/11/2012,Syracuse,San Diego St,62,49
11/11/2012,Villanova,Marshall,80,68
11/11/2012,Nebraska,Southern Univ,66,55
11/11/2012,ULL,Oakland,90,79
11/11/2012,Brown,Binghamton,58,49
11/11/2012,UT San Antonio,Old Dominion,79,70
11/11/2012,Arizona,Charleston So,82,73
11/11/2012,Oregon St,New Mexico St,71,62
11/11/2012,UNC Wilmington,UNC Asheville,67,59
11/11/2012,South Carolina,WI Milwaukee,82,75
11/11/2012,Jacksonville St,E Michigan,61,54
11/11/2012,IL Chicago,UC Riverside,59,52
11/11/2012,Air Force,Citadel,77,70
11/11/2012,Georgetown,Duquesne,61,55
11/11/2012,Army,VMI,80,74
11/11/2012,Siena,Navy,54,49
11/11/2012,Holy Cross,Morgan St,74,73
11/12/2012,Iowa St,Alabama A&M,98,40
11/12/2012,UNLV,Northern Arizona,92,54
11/12/2012,Michigan,IUPUI,91,54
11/12/2012,Pittsburgh,Fordham,86,51
11/12/2012,Gonzaga,West Virginia,84,50
11/12/2012,Clemson,Presbyterian,77,44
11/12/2012,Providence,Bryant,81,49
11/12/2012,Lehigh,Robert Morris,89,60
11/12/2012,Illinois St,Santa Barbara,100,72
11/12/2012,Florida St,Buffalo,95,68
11/12/2012,Notre Dame,Monmouth NJ,84,57
11/12/2012,Minnesota,Toledo,82,56
11/12/2012,Indiana,N Dakota St,87,61
11/12/2012,St Joseph's PA,Yale,61,35
11/12/2012,Rutgers,Sacred Heart,88,62
11/12/2012,Illinois,St Francis NY,89,64
11/12/2012,Kansas St,Lamar,79,55
11/12/2012,Texas,Coppin St,69,46
11/12/2012,Maryland,Morehead St,67,45
11/12/2012,Virginia Tech,Rhode Island,69,50
11/12/2012,Texas A&M,Troy,83,65
11/12/2012,Bradley,TX Pan American,78,61
11/12/2012,S Illinois,New Orleans,72,55
11/12/2012,CS Northridge,E Washington,96,79
11/12/2012,Memphis,North Florida,81,66
11/12/2012,Delaware,Penn,84,69
11/12/2012,Seton Hall,Norfolk St,78,65
11/12/2012,Stanford,CS Fullerton,81,68
11/12/2012,Hawaii,Houston Bap,73,60
11/12/2012,Iowa,C Michigan,73,61
11/12/2012,Youngstown St,Georgia,68,56
11/12/2012,William & Mary,Liberty,71,59
11/12/2012,Oregon,Portland St,80,69
11/12/2012,Ark Pine Bluff,MD E Shore,62,52
11/12/2012,Virginia,Fairfield,54,45
11/12/2012,Utah Valley,NC A&T,64,55
11/12/2012,Canisius,Boston Univ,83,75
11/12/2012,Cleveland St,Bowling Green,79,73
11/12/2012,American Univ,Quinnipiac,61,55
11/12/2012,New Mexico,Davidson,86,81
11/12/2012,Lafayette,Long Island,98,94
11/12/2012,Northwestern LA,Campbell,71,67
11/12/2012,St Peter's,Central Conn,64,61
11/12/2012,Kennesaw,S Carolina St,67,65
11/13/2012,Richmond,UNC Wilmington,101,58
11/13/2012,Cincinnati,MS Valley St,102,60
11/13/2012,Missouri,Alcorn St,91,54
11/13/2012,Northwestern,TX Southern,79,49
11/13/2012,Michigan,Cleveland St,77,47
11/13/2012,UCF,Alabama St,85,56
11/13/2012,Miami OH,Grambling,80,54
11/13/2012,LSU,McNeese St,73,48
11/13/2012,Pittsburgh,Lehigh,78,53
11/13/2012,Valparaiso,N Illinois,69,46
11/13/2012,Stetson,Florida A&M,88,66
11/13/2012,High Point,Appalachian St,86,64
11/13/2012,Mississippi St,FL Atlantic,78,58
11/13/2012,W Kentucky,Austin Peay,74,54
11/13/2012,Connecticut,Vermont,67,49
11/13/2012,Mississippi,Coastal Car,90,72
11/13/2012,BYU,Georgia St,80,62
11/13/2012,USC,Long Beach St,62,44
11/13/2012,Niagara,St Francis PA,86,69
11/13/2012,California,Pepperdine,79,62
11/13/2012,Robert Morris,Fordham,74,58
11/13/2012,Xavier,Butler,62,47
11/13/2012,North Texas,Lamar,74,59
11/13/2012,Temple,Kent,80,66
11/13/2012,New Hampshire,Dartmouth,72,58
11/13/2012,IUPUI,Bowling Green,80,66
11/13/2012,Charlotte,Ga Southern,66,53
11/13/2012,FL Gulf Coast,Miami FL,63,51
11/13/2012,Wright St,E Illinois,56,44
11/13/2012,Indiana St,Winthrop,66,55
11/13/2012,Marquette,SE Louisiana,64,53
11/13/2012,Tulane,Bethune-Cookman,65,55
11/13/2012,Fairfield,Penn,62,53
11/13/2012,Stony Brook,Rider,54,46
11/13/2012,Boise St,Oakland,88,80
11/13/2012,Mt St Mary's,Hartford,70,63
11/13/2012,S Dakota St,Tennessee St,78,71
11/13/2012,Duke,Kentucky,75,68
11/13/2012,Delaware,Virginia,59,53
11/13/2012,Bucknell,George Mason,61,56
11/13/2012,Massachusetts,Harvard,67,64
11/13/2012,St John's,Detroit,77,74
11/13/2012,Middle Tenn St,Savannah St,58,55
11/13/2012,Michigan St,Kansas,67,64
11/13/2012,Wichita St,VA Commonwealth,53,51
11/13/2012,Houston,San Jose St,77,75
11/13/2012,Northeastern,Princeton,67,66
11/13/2012,Albany NY,Washington,63,62
11/13/2012,UCLA,UC Irvine,80,79
11/14/2012,Texas Tech,NE Omaha,91,63
11/14/2012,Navy,Binghamton,75,52
11/14/2012,Washington St,Utah Valley,72,49
11/14/2012,Florida,Wisconsin,74,56
11/14/2012,Louisiana Tech,Ark Little Rock,70,52
11/14/2012,CS Sacramento,CS Bakersfield,85,67
11/14/2012,Creighton,UAB,77,60
11/14/2012,Denver,TAM C. Christi,68,51
11/14/2012,Loyola MD,MD Baltimore Co,86,70
11/14/2012,Georgia Tech,Presbyterian,52,38
11/14/2012,Colgate,Marist,74,60
11/14/2012,Wyoming,NC Central,73,60
11/14/2012,Santa Clara,St Louis,74,62
11/14/2012,Edwardsville,W Illinois,62,50
11/14/2012,Georgetown,Liberty,68,59
11/14/2012,Fresno St,UC Riverside,39,30
11/14/2012,Savannah St,North Florida,54,47
11/14/2012,Southern Univ,South Dakota,83,79
11/14/2012,Lipscomb,Gardner Webb,66,62
11/14/2012,St Bonaventure,Cornell,72,68
11/14/2012,Delaware St,Wagner,73,69
11/14/2012,San Diego,N Kentucky,65,61
11/14/2012,Holy Cross,Maine,57,54
11/14/2012,Northern Iowa,Toledo,84,81
11/15/2012,Indiana,Sam Houston St,99,45
11/15/2012,Iowa,Howard,66,36
11/15/2012,UCLA,James Madison,100,70
11/15/2012,Minnesota,Tennessee St,72,43
11/15/2012,Louisville,Samford,80,54
11/15/2012,New Mexico St,SE Louisiana,81,56
11/15/2012,Texas A&M,Prairie View,81,59
11/15/2012,Arizona,UTEP,72,51
11/15/2012,Tulsa,N Kentucky,76,56
11/15/2012,Murray St,Auburn,79,59
11/15/2012,Wyoming,South Dakota,71,51
11/15/2012,Jacksonville St,Alabama A&M,79,61
11/15/2012,Stanford,Alcorn St,69,51
11/15/2012,NC State,Penn St,72,55
11/15/2012,Wichita St,W Carolina,79,63
11/15/2012,Virginia Tech,VMI,95,80
11/15/2012,Central Conn,Brown,86,71
11/15/2012,Kansas,Chattanooga,69,55
11/15/2012,Northwestern,MS Valley St,81,68
11/15/2012,Norfolk St,Longwood,78,66
11/15/2012,Gardner Webb,DePaul,71,59
11/15/2012,St John's,Col Charleston,64,53
11/15/2012,SE Missouri St,McNeese St,64,53
11/15/2012,Cal Poly SLO,N Colorado,64,53
11/15/2012,Colorado,Dayton,67,57
11/15/2012,Baylor,Boston College,84,74
11/15/2012,Richmond,Hampton,68,58
11/15/2012,St Mary's CA,Utah St,67,58
11/15/2012,Villanova,Purdue,89,81
11/15/2012,Tennessee,UNC Asheville,75,68
11/15/2012,Bethune-Cookman,New Orleans,71,65
11/15/2012,Buffalo,Evansville,56,50
11/15/2012,American Univ,Mt St Mary's,62,57
11/15/2012,Oklahoma St,Akron,69,65
11/15/2012,NC Central,Southern Univ,59,55
11/15/2012,SMU,TCU,64,61
11/15/2012,Alabama,Oregon St,65,62
11/15/2012,Portland,Idaho St,51,48
11/15/2012,CS Northridge,San Diego,74,71
11/15/2012,Southern Miss,Georgia,62,60
11/15/2012,Illinois St,Drexel,86,84
11/15/2012,Massachusetts,Providence,77,75
11/15/2012,Tennessee Tech,Coastal Car,71,69
11/15/2012,Nebraska,Valparaiso,50,48
11/15/2012,San Jose St,Weber St,68,67
11/16/2012,Kentucky,Lafayette,101,49
11/16/2012,Mississippi,Ark Little Rock,92,52
11/16/2012,Ohio,UNC Wilmington,85,47
11/16/2012,Harvard,Manhattan,79,45
11/16/2012,Kent,Chicago St,92,63
11/16/2012,Oregon,Vanderbilt,74,48
11/16/2012,Tulane,NE Omaha,76,52
11/16/2012,Alabama,Villanova,77,55
11/16/2012,Missouri,Nicholls St,74,54
11/16/2012,South Florida,MD E Shore,78,59
11/16/2012,Campbell,Appalachian St,101,82
11/16/2012,Akron,UNC Asheville,82,63
11/16/2012,Florida St,BYU,88,70
11/16/2012,NC State,Massachusetts,94,76
11/16/2012,Maryland,Long Island,91,74
11/16/2012,Bucknell,Niagara,88,71
11/16/2012,Clemson,Furman,72,55
11/16/2012,Oklahoma St,Tennessee,62,45
11/16/2012,South Carolina,Morgan St,87,71
11/16/2012,Miami FL,Jacksonville,73,57
11/16/2012,Dayton,Boston College,87,71
11/16/2012,Hartford,Sacred Heart,62,47
11/16/2012,Youngstown St,St Francis PA,75,60
11/16/2012,North Carolina,Long Beach St,78,63
11/16/2012,E Kentucky,Kennesaw,85,71
11/16/2012,South Dakota,NC Central,81,69
11/16/2012,Wright St,NC A&T,56,44
11/16/2012,Tulsa,San Diego,63,51
11/16/2012,WI Green Bay,Southern Utah,66,54
11/16/2012,California,Denver,72,61
11/16/2012,W Michigan,Loyola-Chicago,81,71
11/16/2012,Evansville,Yale,66,56
11/16/2012,Army,Binghamton,85,76
11/16/2012,W Illinois,Buffalo,67,58
11/16/2012,St Joseph's PA,Notre Dame,79,70
11/16/2012,E Michigan,E Illinois,60,52
11/16/2012,Towson,Radford,75,67
11/16/2012,Oregon St,Purdue,66,58
11/16/2012,Wyoming,Southern Univ,67,60
11/16/2012,New Mexico,IL Chicago,66,59
11/16/2012,Connecticut,Wake Forest,77,71
11/16/2012,Rutgers,Princeton,58,52
11/16/2012,Quinnipiac,Iona,98,92
11/16/2012,Ball St,Wofford,66,61
11/16/2012,Savannah St,Alabama St,59,54
11/16/2012,Fresno St,Pacific,66,61
11/16/2012,Murray St,St John's,72,67
11/16/2012,CS Northridge,Siena,68,64
11/16/2012,Oklahoma,UT Arlington,63,59
11/16/2012,Arkansas St,TN Martin,77,73
11/16/2012,St Peter's,Cornell,68,64
11/16/2012,Auburn,Col Charleston,55,51
11/16/2012,George Mason,Mercer,52,49
11/16/2012,IPFW,TX Pan American,97,94
11/16/2012,Hofstra,S Dakota St,66,63
11/16/2012,East Carolina,UNC Greensboro,76,73
11/16/2012,TX Southern,ULL,74,71
11/16/2012,Nevada,CS Fullerton,80,77
11/16/2012,CS Sacramento,Utah,74,71
11/16/2012,Penn St,Providence,55,52
11/16/2012,Pepperdine,Washington St,58,56
11/16/2012,Colorado,Baylor,60,58
11/16/2012,Illinois,Hawaii,78,77
11/17/2012,CS Fullerton,Southern Utah,112,69
11/17/2012,Virginia,Seattle,83,43
11/17/2012,Houston,Grambling,87,47
11/17/2012,VA Commonwealth,Winthrop,90,54
11/17/2012,DePaul,Austin Peay,98,67
11/17/2012,IL Chicago,Mercer,62,36
11/17/2012,Iona,Wake Forest,94,68
11/17/2012,Northern Iowa,North Dakota,72,47
11/17/2012,William & Mary,High Point,83,61
11/17/2012,Charlotte,Lamar,70,49
11/17/2012,Wichita St,Howard,69,50
11/17/2012,UNLV,Jacksonville St,77,58
11/17/2012,South Florida,Loyola-Chicago,68,50
11/17/2012,W Michigan,MD E Shore,68,51
11/17/2012,Loyola MD,Norfolk St,65,49
11/17/2012,San Diego St,Missouri St,60,44
11/17/2012,CS Northridge,Tulsa,92,76
11/17/2012,Temple,Rice,77,63
11/17/2012,G Washington,Boston Univ,72,59
11/17/2012,E Illinois,TX Pan American,63,50
11/17/2012,E Michigan,IPFW,60,47
11/17/2012,Bucknell,New Mexico St,62,49
11/17/2012,Bryant,New Hampshire,76,64
11/17/2012,Cleveland St,Old Dominion,67,55
11/17/2012,Memphis,Samford,65,54
11/17/2012,Ohio St,Rhode Island,69,58
11/17/2012,Washington,Seton Hall,84,73
11/17/2012,Vermont,Northeastern,66,55
11/17/2012,W Kentucky,W Carolina,92,81
11/17/2012,Pittsburgh,Oakland,72,62
11/17/2012,Notre Dame,BYU,78,68
11/17/2012,Iowa,Gardner Webb,65,56
11/17/2012,SF Austin,Florida Intl,69,60
11/17/2012,Elon,Colgate,81,72
11/17/2012,Radford,Kennesaw,67,58
11/17/2012,Utah St,TAM C. Christi,77,68
11/17/2012,UT San Antonio,SC Upstate,67,59
11/17/2012,Bradley,IUPUI,79,72
11/17/2012,Florida St,St Joseph's PA,73,66
11/17/2012,Detroit,Drake,85,79
11/17/2012,Marist,Columbia,67,62
11/17/2012,WI Milwaukee,Davidson,73,68
11/17/2012,Evansville,W Illinois,49,44
11/17/2012,Yale,Buffalo,63,59
11/17/2012,Siena,N Kentucky,56,52
11/17/2012,Rider,Monmouth NJ,65,62
11/17/2012,Albany NY,Missouri KC,62,59
11/17/2012,Canisius,St Bonaventure,72,69
11/17/2012,Tennessee Tech,ETSU,65,62
11/17/2012,FL Atlantic,Coppin St,64,61
11/17/2012,SMU,Texas St,78,75
11/17/2012,Montana,Idaho,66,63
11/17/2012,Loy Marymount,CS Bakersfield,76,73
11/17/2012,Xavier,Robert Morris,61,59
11/17/2012,Drexel,Penn,61,59
11/17/2012,E Kentucky,Towson,71,69
11/17/2012,Brown,Maine,70,68
11/17/2012,Nevada,WI Green Bay,71,69
11/17/2012,S Dakota St,Marshall,78,77
11/18/2012,Hofstra,Marshall,103,100
11/18/2012,Cincinnati,NC A&T,93,39
11/18/2012,Arkansas,Longwood,112,63
11/18/2012,Louisville,Miami OH,80,39
11/18/2012,Illinois St,Delaware St,87,48
11/18/2012,Gonzaga,South Dakota,96,58
11/18/2012,Wisconsin,Cornell,73,40
11/18/2012,Syracuse,Wagner,88,57
11/18/2012,Creighton,Presbyterian,87,58
11/18/2012,Michigan St,TX Southern,69,41
11/18/2012,Tulane,Chicago St,79,51
11/18/2012,Northwestern,F Dickinson,80,53
11/18/2012,Arizona St,Florida A&M,97,70
11/18/2012,Akron,Penn St,85,60
11/18/2012,Louisiana Tech,Troy,70,46
11/18/2012,Ohio,Wofford,73,50
11/18/2012,Florida,Middle Tenn St,66,45
11/18/2012,Duke,FL Gulf Coast,88,67
11/18/2012,Iowa St,Campbell,88,68
11/18/2012,Oklahoma St,NC State,76,56
11/18/2012,UAB,Navy,82,63
11/18/2012,Kansas St,North Florida,74,55
11/18/2012,Montana St,Portland,83,64
11/18/2012,St Mary's CA,E Washington,85,66
11/18/2012,Baylor,St John's,97,78
11/18/2012,Nevada,Southern Utah,79,61
11/18/2012,San Diego,Siena,77,60
11/18/2012,Loyola-Chicago,MD E Shore,62,46
11/18/2012,Minnesota,Richmond,72,57
11/18/2012,Morehead St,Lafayette,88,74
11/18/2012,Tennessee,Massachusetts,83,69
11/18/2012,Nebraska,NE Omaha,75,62
11/18/2012,W Illinois,Yale,59,47
11/18/2012,SE Missouri St,Chattanooga,77,65
11/18/2012,CS Fullerton,WI Green Bay,93,82
11/18/2012,CS Northridge,N Kentucky,69,58
11/18/2012,Ohio St,Washington,77,66
11/18/2012,E Michigan,TX Pan American,57,47
11/18/2012,Dayton,Auburn,73,63
11/18/2012,Binghamton,St Peter's,62,54
11/18/2012,E Kentucky,Radford,83,75
11/18/2012,Belmont,Stanford,70,62
11/18/2012,Central Conn,La Salle,81,74
11/18/2012,Colorado,Murray St,81,74
11/18/2012,Boise St,ULL,63,57
11/18/2012,Towson,Kennesaw,69,63
11/18/2012,Missouri KC,Norfolk St,63,57
11/18/2012,Connecticut,Quinnipiac,89,83
11/18/2012,W Michigan,South Florida,58,53
11/18/2012,TCU,Prairie View,44,39
11/18/2012,Valparaiso,Kent,88,83
11/18/2012,Providence,UNC Asheville,72,67
11/18/2012,Seton Hall,Rhode Island,60,55
11/18/2012,Col Charleston,Boston College,71,67
11/18/2012,Colgate,Coppin St,88,84
