Date,Team,Opponent,Team Score,Opponent Score
11/8/2013,Illinois,Alabama St,80,63
11/8/2013,Mississippi St,Prairie View,71,56
11/8/2013,Kansas,ULM,80,63
11/8/2013,Loyola MD,Binghamton,79,74
11/8/2013,Marshall,S Carolina St,85,69
11/8/2013,Marquette,Southern Univ,63,56
11/8/2013,Sam Houston St,TX Pan American,77,73
11/8/2013,West Virginia,Mt St Mary's,77,62
11/8/2013,SF Austin,UT Tyler,90,64
11/8/2013,Samford,Martin Meth,79,62
11/8/2013,Mississippi,Troy,69,54
11/8/2013,Texas Tech,Houston Bap,76,61
11/8/2013,Loyola-Chicago,WI Milwaukee,76,72
11/8/2013,Liberty,Randolph Col,74,53
11/8/2013,NE Omaha,N Illinois,68,66
11/8/2013,N Dakota St,Viterbo,93,49
11/8/2013,Utah,Evergreen St,128,44
11/8/2013,UAB,Columbus St,76,56
11/8/2013,Auburn,Nicholls St,76,54
11/8/2013,Arizona St,UMBC,96,61
11/8/2013,Arkansas,Edwardsville,99,65
11/8/2013,Youngstown St,Kennesaw,73,57
11/8/2013,Furman,Sewanee,66,49
11/8/2013,Loy Marymount,Grand Canyon,78,75
11/8/2013,Elon,Wash & Lee,114,64
11/8/2013,Oklahoma St,MS Valley St,117,62
11/8/2013,Creighton,Alcorn St,107,61
11/8/2013,Texas A&M,Buffalo,82,58
11/8/2013,Villanova,Lafayette,75,59
11/8/2013,Bradley,Jacksonville St,72,65
11/8/2013,Florida St,Jacksonville,91,67
11/8/2013,East Carolina,NC Wesleyan,97,51
11/8/2013,Missouri,SE Louisiana,89,53
11/8/2013,Houston,Texas St,76,70
11/8/2013,Portland,UC Davis,100,83
11/8/2013,CS Northridge,Hope Intl,86,74
11/8/2013,Hawaii,Tennessee St,85,55
11/8/2013,CS Sacramento,UC Santa Cruz,73,43
11/8/2013,St Francis NY,Miami FL,66,62
11/8/2013,San Diego,S Dakota St,74,70
11/8/2013,Santa Barbara,Hawaii Pacific,76,50
11/8/2013,San Francisco,Notre Dame CA,95,57
11/8/2013,W Carolina,Wittenberg,77,55
11/8/2013,North Texas,Northwood TX,72,67
11/8/2013,Santa Clara,Bethesda,84,39
11/8/2013,Charleston So,Johnson Bib,130,51
11/8/2013,California,Coppin St,83,64
11/8/2013,St Mary's CA,Louisiana Tech,83,70
11/8/2013,W Michigan,New Mexico St,70,64
11/8/2013,UCLA,Drexel,72,67
11/8/2013,Fresno St,UC Irvine,98,97
11/8/2013,North Carolina,Oakland,84,61
11/8/2013,Valparaiso,Murray St,77,74
11/8/2013,N Colorado,Kansas St,60,58
11/8/2013,Southern Utah,Arizona Chr,85,78
11/8/2013,UCF,Tampa,97,72
11/8/2013,TAM C. Christi,Huston-Tillot,79,45
11/8/2013,Southern Miss,Jackson St,67,51
11/8/2013,Northwestern LA,Le Tourneau,92,76
11/8/2013,Stanford,Bucknell,72,68
11/8/2013,Arizona,Cal Poly SLO,73,62
11/8/2013,Washington St,CS Bakersfield,62,56
11/8/2013,Boise St,UT Arlington,116,87
11/8/2013,Utah St,USC,78,65
11/8/2013,Tulane,NJIT,75,64
11/8/2013,Iowa,UNC Wilmington,82,39
11/8/2013,Utah Valley,IUPUI,74,66
11/8/2013,Rhode Island,Maine,97,77
11/8/2013,BYU,Weber St,81,72
11/8/2013,SMU,TCU,69,61
11/8/2013,San Diego St,UC Riverside,77,41
11/8/2013,Wyoming,TN Martin,78,60
11/8/2013,Wisconsin,St John's,86,75
11/8/2013,Baylor,Colorado,72,60
